leaf_index,r0,r1,r2,r3,r4,r5,r6,r7
0,-7.50763,-1.80002,-3.79,-3.63589,-1.90078,-1.39975,-2.63418,-0.54822
1,-7.32739,-1.28609,-2.68839,-0.62075,-5.41351,-1.22412,-0.01386,-2.49758
2,-7.08583,-4.87697,-0.49645,-1.21342,-2.69855,-1.33264,-3.74568,-1.09501
3,-6.9183,-3.85119,-0.40609,-5.32535,-0.55393,-0.53822,-0.20059,-2.85385
4,-6.8926,-0.6966,-0.76703,-2.65913,-2.31836,-0.1935,-4.36396,-4.45996
5,-6.58673,-4.58933,-0.42461,-1.02571,-0.51904,-0.52798,-5.14526,-2.70164
6,-6.57876,-1.06616,-4.13705,-4.73244,-0.68092,-3.69596,-0.63619,-1.24241
7,-6.18556,-0.45995,-4.41728,-1.32458,-0.77674,-3.96784,-4.20594,-2.49468
8,-6.07268,-4.68487,-3.01854,-0.58888,-2.93628,-0.91334,-2.6933,-3.87381
9,-5.79441,-1.52795,-2.96086,-1.85296,-0.92061,-7.05921,-0.65065,-0.88701
10,-5.58909,-0.26985,-4.87016,-0.2918,-3.11329,-0.19161,-5.78177,-1.31436
11,-5.48052,-3.2987,-2.26932,-3.46803,-2.6421,-1.81147,-1.15079,-5.50627
12,-5.42839,-4.51804,-5.66896,-0.76095,-0.8746,-0.36026,-1.27215,-3.85885
13,-5.36627,-6.76917,-1.52556,-1.59365,-1.88034,-0.08698,-3.88551,-1.36894
14,-5.35368,-1.43222,-1.66172,-4.26136,-1.14927,-0.19587,-0.87405,-6.80024
15,-5.20979,-1.59159,-2.6957,-3.48094,-1.28641,-3.02982,-0.71741,-6.29221
16,-5.14605,-2.70693,-1.69414,-2.92374,-5.46732,-2.63739,-1.199,-4.06047
17,-4.9863,-0.78757,-0.85097,-0.5417,-0.78879,-6.4549,-4.66756,-3.07002
18,-4.84558,-5.35346,-2.82178,-0.98801,-1.78434,-0.06246,-3.3541,-4.94818
19,-4.74393,-4.38644,-3.50832,-2.64148,-2.32092,-1.02581,-5.16551,-2.41809
20,-4.57436,-6.14508,-4.00522,-1.75121,-1.78634,-1.87561,-0.82929,-3.84813
21,-4.51438,-4.60392,-1.02071,-0.14435,-1.11285,-3.74303,-1.83012,-6.22604
22,-4.45109,-0.91119,-0.47662,-5.61419,-2.85667,-3.70508,-3.36114,-3.79812
23,-4.2843,-1.72191,-1.4829,-6.20196,-4.9902,-1.75567,-2.93986,-1.17868
24,-4.23733,-1.33126,-3.04446,-5.26455,-6.09566,-0.38691,-2.39381,-0.50151
25,-4.23129,-3.98515,-5.49191,-0.10921,-1.18436,-2.49677,-4.9681,-1.92955
26,-4.19019,-0.09193,-5.72191,-1.43832,-0.2479,-1.24996,-4.5005,-5.07411
27,-4.14724,-2.04618,-4.2935,-1.65478,-4.07101,-5.21594,-2.80198,-2.41059
28,-4.12831,-1.95009,-3.14557,-0.53434,-2.76267,-7.09948,-3.04632,-1.28801
29,-4.11125,-1.4924,-6.33804,-4.13595,-0.03256,-4.09693,-0.37375,-2.58223
30,-4.02565,-4.20488,-0.36338,-2.44204,-1.93135,-4.24149,-3.74818,-4.92425
31,-3.9441,-1.31,-2.80039,-5.98716,-0.66245,-5.84052,-0.50397,-2.058
32,-3.85876,-2.29278,-4.79429,-0.52867,-5.25869,-1.53542,-4.82709,-1.81006
33,-3.7739,-3.50129,-1.17966,-4.16985,-1.60679,-6.89706,-0.51204,-2.07509
34,-3.61913,-2.29854,-0.1983,-2.01388,-1.723,-1.24998,-3.76341,-7.67001
35,-3.61859,-0.952,-2.53164,-0.93128,-2.81643,-2.66963,-7.93447,-0.8414
36,-3.46921,-3.03088,-0.76623,-2.64918,-3.19796,-6.96285,-3.01839,-1.83145
37,-3.46427,-0.30685,-1.77276,-0.9125,-3.43572,-2.46883,-7.01201,-4.1063
38,-3.40697,-1.93434,-3.98764,-5.39483,-0.92127,-5.19083,-2.97945,-1.72476
39,-3.38027,-2.86808,-6.52211,-2.19329,-3.42037,-0.93359,-3.3718,-3.00996
40,-3.3775,-6.15786,-1.37993,-3.70781,-2.8133,-3.17895,-2.19634,-3.48954
41,-3.36461,-3.36627,-5.44505,-1.36197,-5.62536,-2.20988,-2.76134,-1.30035
42,-3.3637,-4.35354,-2.9792,-0.33237,-5.94103,-0.64438,-1.75423,-4.6859
43,-3.35695,-2.86412,-7.65153,-1.32772,-2.5414,-0.67669,-2.06339,-3.00745
44,-3.31648,-7.98831,-3.42216,-1.05117,-0.14254,-1.8089,-2.93296,-0.69066
45,-3.22783,-2.75224,-1.19368,-4.97373,-3.59295,-0.48926,-6.53412,-0.00479
46,-3.0839,-5.01257,-0.41468,-4.41304,-0.2084,-2.50072,-3.82904,-4.97576
47,-3.07975,-5.99243,-3.8514,-5.25262,-3.20544,-0.97188,-0.20847,-0.9591
48,-3.06959,-0.76661,-6.4567,-4.73178,-3.49901,-2.69126,-2.53479,-0.00415
49,-3.05344,-2.41836,-5.80801,-2.38286,-5.24776,-3.42583,-1.65006,-1.84908
50,-3.00168,-0.63832,-0.36734,-0.55096,-0.15215,-0.88147,-8.46601,-4.20364
51,-2.91562,-5.20937,-2.65761,-2.70205,-2.20465,-4.31816,-0.20881,-5.14267
52,-2.90981,-2.40078,-6.45519,-1.31591,-1.05788,-6.33526,-0.07719,-1.05239
53,-2.89693,-4.32012,-3.16172,-0.22008,-0.16734,-5.11065,-3.05247,-5.23786
54,-2.88742,-2.37557,-1.28999,-2.3998,-1.59413,-6.54378,-4.70389,-3.33278
55,-2.87789,-5.38469,-0.91048,-3.12897,-5.5928,-2.76481,-2.11021,-2.95412
56,-2.8135,-2.2699,-0.21934,-4.21913,-5.68341,-1.25722,-3.72064,-4.62145
57,-2.80305,-3.42488,-4.00593,-3.57316,-2.03439,-0.30042,-0.63521,-6.85315
58,-2.79682,-1.76583,-2.48183,-3.25816,-3.08393,-0.20272,-7.42518,-2.75673
59,-2.76239,-2.52924,-2.64408,-0.46512,-1.91351,-5.8132,-5.28444,-3.65849
60,-2.76011,-4.14269,-1.4915,-3.80364,-3.40117,-2.331,-4.08688,-4.98233
61,-2.61001,-7.35483,-0.11313,-4.38766,-3.01009,-0.45602,-1.48764,-2.88934
62,-2.53117,-1.5245,-4.27203,-4.12562,-6.14161,-2.05911,-0.1491,-3.74386
63,-2.50568,-3.04914,-4.91783,-6.20439,-3.91765,-1.61417,-1.93158,-0.24575
64,-2.43237,-1.88442,-0.66794,-3.63954,-3.64898,-3.29951,-0.88296,-7.2013
65,-2.42119,-7.91157,-3.07612,-2.97919,-1.34115,-2.8223,-0.8932,-1.62631
66,-2.40037,-1.70198,-2.24352,-4.7658,-0.08524,-4.98587,-4.51084,-4.28735
67,-2.36169,-4.25922,-5.1601,-0.07265,-2.14772,-6.05492,-2.89061,-0.13869
68,-2.3561,-6.74699,-1.04861,-1.79762,-1.06824,-1.52889,-6.38603,-0.57959
69,-2.33134,-7.51605,-5.5623,-0.16619,-2.12596,-1.3396,-0.17169,-0.87367
70,-2.3305,-3.78712,-2.69115,-3.00718,-3.9708,-5.61253,-0.07373,-4.08265
71,-2.28855,-3.13831,-5.18863,-3.38785,-0.3278,-5.3483,-4.12304,-0.89602
72,-2.25324,-2.87873,-1.3044,-0.40855,-4.99057,-0.12498,-5.93848,-4.95787
73,-2.23674,-4.40532,-2.89251,-2.33642,-0.50591,-6.56964,-0.00657,-4.28351
74,-2.1899,-1.23281,-0.83865,-7.07033,-4.77315,-0.55576,-0.85267,-4.37867
75,-2.09684,-1.03976,-7.29764,-3.96287,-2.45697,-3.26507,-2.84593,-0.875
76,-1.97443,-0.28716,-7.38533,-5.02932,-2.50188,-0.97389,-0.27764,-2.98279
77,-1.92197,-6.34837,-4.05497,-3.35733,-0.06835,-3.33201,-3.27273,-2.54403
78,-1.83163,-6.40243,-3.43678,-1.25614,-2.30075,-3.80125,-3.81878,-2.81757
79,-1.71059,-5.33788,-2.22063,-6.73073,-0.98586,-3.99242,-1.14544,-0.35163
80,-1.67696,-3.98692,-1.60345,-6.3236,-4.39326,-2.16604,-2.60558,-2.81989
