leaf_index,r0,r1
0,-10.0,-0.00733
1,-10.0,-0.0014
2,-9.99999,-0.01638
3,-9.99901,-0.14079
4,-9.99759,-0.21935
5,-9.99687,-0.25036
6,-9.99388,-0.34985
7,-9.9936,-0.35765
8,-9.99007,-0.44543
9,-9.98932,-0.46206
10,-9.98851,-0.47925
11,-9.97992,-0.63345
12,-9.97586,-0.69438
13,-9.96535,-0.83176
14,-9.961,-0.88229
15,-9.94932,-1.00553
16,-9.94424,-1.05452
17,-9.94169,-1.0783
18,-9.93834,-1.10876
19,-9.93519,-1.13666
20,-9.92754,-1.20162
21,-9.92004,-1.26209
22,-9.91111,-1.33039
23,-9.90855,-1.34927
24,-9.90716,-1.35946
25,-9.88718,-1.49787
26,-9.88306,-1.52484
27,-9.87121,-1.59974
28,-9.85877,-1.67471
29,-9.85276,-1.70969
30,-9.84878,-1.73249
31,-9.79916,-1.99409
32,-9.79683,-2.00553
33,-9.78751,-2.05052
34,-9.78128,-2.08004
35,-9.76396,-2.15987
36,-9.73806,-2.2738
37,-9.73376,-2.29214
38,-9.72827,-2.31534
39,-9.71733,-2.36082
40,-9.71346,-2.37671
41,-9.70201,-2.42302
42,-9.70113,-2.42655
43,-9.69829,-2.43787
44,-9.67092,-2.54428
45,-9.66331,-2.57303
46,-9.6471,-2.63316
47,-9.5973,-2.80923
48,-9.56367,-2.92169
49,-9.5592,-2.93627
50,-9.54288,-2.9889
51,-9.54024,-2.9973
52,-9.50508,-3.10699
53,-9.49931,-3.1246
54,-9.48906,-3.15559
55,-9.47841,-3.18745
56,-9.46255,-3.23421
57,-9.43818,-3.30465
58,-9.43321,-3.31882
59,-9.43174,-3.32299
60,-9.38515,-3.45237
61,-9.35647,-3.52939
62,-9.33095,-3.59629
63,-9.30756,-3.65641
64,-9.30333,-3.66717
65,-9.28179,-3.72135
66,-9.27863,-3.7292
67,-9.27856,-3.72938
68,-9.26788,-3.75586
69,-9.25164,-3.79568
70,-9.24628,-3.8087
71,-9.24593,-3.80956
72,-9.21056,-3.89429
73,-9.20919,-3.89755
74,-9.14645,-4.04259
75,-9.13736,-4.06308
76,-9.05677,-4.23967
77,-9.04705,-4.26038
78,-9.04197,-4.27116
79,-9.00681,-4.34481
80,-8.96911,-4.42211
81,-8.96788,-4.4246
82,-8.95667,-4.44726
83,-8.89124,-4.57666
84,-8.85371,-4.64885
85,-8.85026,-4.65542
86,-8.82725,-4.69891
87,-8.8035,-4.74325
88,-8.77913,-4.7882
89,-8.73745,-4.86385
90,-8.62923,-5.05335
91,-8.56776,-5.15689
92,-8.54586,-5.1931
93,-8.50948,-5.25251
94,-8.44141,-5.36121
95,-8.40712,-5.41483
96,-8.38073,-5.45558
97,-8.37364,-5.46646
98,-8.35712,-5.49167
99,-8.24868,-5.65326
100,-8.24766,-5.65475
101,-8.2219,-5.69213
102,-8.20481,-5.71674
103,-8.15955,-5.78116
104,-8.12083,-5.83543
105,-8.09431,-5.87216
106,-8.06592,-5.91109
107,-7.98879,-6.01492
108,-7.92656,-6.0967
109,-7.89788,-6.13381
110,-7.89284,-6.14028
111,-7.84441,-6.20204
112,-7.83914,-6.20869
113,-7.78285,-6.27911
114,-7.77919,-6.28365
115,-7.72233,-6.3534
116,-7.68612,-6.39715
117,-7.6764,-6.40881
118,-7.62512,-6.46974
119,-7.6094,-6.48822
120,-7.6074,-6.49056
121,-7.59012,-6.51077
122,-7.58067,-6.52177
123,-7.48792,-6.62805
124,-7.46,-6.65946
125,-7.37546,-6.75297
126,-7.34231,-6.789
127,-7.33089,-6.80133
128,-7.25768,-6.87939
129,-7.17204,-6.96864
130,-7.06933,-7.0728
131,-7.02351,-7.11831
132,-7.01045,-7.13117
133,-7.00821,-7.13337
134,-6.99372,-7.14758
135,-6.9822,-7.15883
136,-6.91506,-7.22371
137,-6.89229,-7.24544
138,-6.78646,-7.34465
139,-6.71064,-7.414
140,-6.65814,-7.46118
141,-6.64017,-7.47717
142,-6.63573,-7.48111
143,-6.63555,-7.48128
144,-6.62713,-7.48873
145,-6.58159,-7.52879
146,-6.34895,-7.72598
147,-6.34207,-7.73163
148,-6.27105,-7.78935
149,-6.26881,-7.79115
150,-6.21225,-7.83632
151,-6.2117,-7.83676
152,-6.19496,-7.85
153,-6.16363,-7.87462
154,-6.15275,-7.88313
155,-6.12284,-7.90638
156,-6.11402,-7.9132
157,-6.10598,-7.91941
158,-6.0263,-7.9802
159,-6.00061,-7.99954
160,-5.65741,-8.24583
161,-5.62133,-8.27047
162,-5.6109,-8.27755
163,-5.56941,-8.30552
164,-5.54737,-8.32026
165,-5.54465,-8.32207
166,-5.47547,-8.36775
167,-5.32958,-8.46142
168,-5.30494,-8.47689
169,-5.28498,-8.48935
170,-5.23344,-8.52122
171,-5.03508,-8.63991
172,-5.01357,-8.6524
173,-5.00612,-8.65671
174,-4.97534,-8.67444
175,-4.8493,-8.74553
176,-4.73472,-8.80809
177,-4.72688,-8.8123
178,-4.57762,-8.89075
179,-4.55783,-8.90091
180,-4.54507,-8.90743
181,-4.52723,-8.91651
182,-4.40497,-8.97754
183,-4.39948,-8.98023
184,-4.35747,-9.00069
185,-4.29077,-9.03268
186,-4.2465,-9.05358
187,-4.23786,-9.05762
188,-4.14769,-9.09927
189,-3.97584,-9.17566
190,-3.93169,-9.19466
191,-3.90816,-9.20469
192,-3.87714,-9.2178
193,-3.85828,-9.22571
194,-3.83434,-9.23568
195,-3.82487,-9.23961
196,-3.73192,-9.27754
197,-3.65062,-9.30983
198,-3.62647,-9.31927
199,-3.50601,-9.36525
200,-3.4399,-9.38973
201,-3.34436,-9.42418
202,-3.34299,-9.42467
203,-3.22103,-9.46705
204,-3.18943,-9.47774
205,-3.13762,-9.49502
206,-3.13096,-9.49722
207,-3.12663,-9.49864
208,-3.08775,-9.51135
209,-2.97738,-9.54648
210,-2.96161,-9.55138
211,-2.8985,-9.57072
212,-2.83198,-9.59061
213,-2.77153,-9.60826
214,-2.72218,-9.62236
215,-2.54057,-9.67189
216,-2.45788,-9.69324
217,-2.3957,-9.70879
218,-2.36688,-9.71586
219,-2.33369,-9.72388
220,-2.32548,-9.72585
221,-2.26892,-9.7392
222,-2.19163,-9.75688
223,-2.08863,-9.77945
224,-2.04892,-9.78785
225,-2.04576,-9.78851
226,-1.94539,-9.80895
227,-1.9437,-9.80928
228,-1.84467,-9.82839
229,-1.8177,-9.83341
230,-1.81183,-9.83449
231,-1.70092,-9.85428
232,-1.60908,-9.86969
233,-1.34586,-9.90902
234,-1.25194,-9.92132
235,-1.25179,-9.92134
236,-1.13599,-9.93527
237,-1.13282,-9.93563
238,-1.0595,-9.94371
239,-0.97993,-9.95187
240,-0.93921,-9.9558
241,-0.84591,-9.96416
242,-0.78558,-9.9691
243,-0.7678,-9.97048
244,-0.76036,-9.97105
245,-0.70115,-9.97539
246,-0.51917,-9.98651
247,-0.38306,-9.99266
248,-0.32727,-9.99464
249,-0.2953,-9.99564
250,-0.29026,-9.99579
251,-0.25774,-9.99668
252,-0.06166,-9.99981
253,-0.05797,-9.99983
254,-0.03266,-9.99995
255,-0.01533,-9.99999
