leaf_index,r0,r1
0,-9.99999,-0.01638
1,-9.99759,-0.21935
2,-9.97992,-0.63345
3,-9.88306,-1.52484
4,-9.78751,-2.05052
5,-9.76396,-2.15987
6,-9.73806,-2.2738
7,-9.72827,-2.31534
8,-9.71733,-2.36082
9,-9.70201,-2.42302
10,-9.70113,-2.42655
11,-9.69829,-2.43787
12,-9.5973,-2.80923
13,-9.54024,-2.9973
14,-9.49931,-3.1246
15,-9.30756,-3.65641
16,-9.26788,-3.75586
17,-9.04705,-4.26038
18,-8.96911,-4.42211
19,-8.85371,-4.64885
20,-8.73745,-4.86385
21,-8.40712,-5.41483
22,-8.38073,-5.45558
23,-8.35712,-5.49167
24,-8.24868,-5.65326
25,-8.20481,-5.71674
26,-8.06592,-5.91109
27,-7.92656,-6.0967
28,-7.89284,-6.14028
29,-7.78285,-6.27911
30,-7.33089,-6.80133
31,-7.17204,-6.96864
32,-7.06933,-7.0728
33,-7.01045,-7.13117
34,-6.9822,-7.15883
35,-6.89229,-7.24544
36,-6.78646,-7.34465
37,-6.63555,-7.48128
38,-6.34207,-7.73163
39,-6.27105,-7.78935
40,-6.0263,-7.9802
41,-5.54465,-8.32207
42,-5.00612,-8.65671
43,-4.2465,-9.05358
44,-3.93169,-9.19466
45,-3.87714,-9.2178
46,-3.82487,-9.23961
47,-3.65062,-9.30983
48,-3.4399,-9.38973
49,-2.97738,-9.54648
50,-2.96161,-9.55138
51,-2.72218,-9.62236
52,-2.45788,-9.69324
53,-2.3957,-9.70879
54,-2.26892,-9.7392
55,-2.19163,-9.75688
56,-1.94539,-9.80895
57,-1.84467,-9.82839
58,-1.8177,-9.83341
59,-1.34586,-9.90902
60,-0.76036,-9.97105
61,-0.70115,-9.97539
62,-0.51917,-9.98651
63,-0.2953,-9.99564
