leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13
0,-7.78083,-0.47978,-0.28466,-2.30567,-0.87199,-0.32779,-2.54333,-3.45347,-0.10577,-0.68159,-2.10573,-3.00687,-0.34287,-0.707
1,-7.33707,-0.23128,-0.91649,-0.44196,-1.8552,-1.16301,-0.10591,-1.83483,-0.78866,-2.55377,-2.77342,-2.88012,-2.44678,-2.7909
2,-7.15794,-1.1003,-0.72585,-2.7135,-0.61031,-0.90565,-2.04215,-2.2455,-1.55556,-3.25275,-3.32283,-0.44158,-1.7151,-1.44223
3,-6.70825,-0.47212,-1.08573,-1.67201,-5.19029,-0.6312,-0.16307,-0.18439,-2.0956,-1.9828,-2.9478,-2.49698,-0.08048,-0.38726
4,-6.27131,-1.64144,-2.16763,-1.57554,-1.6456,-0.1699,-2.21784,-1.46261,-2.04816,-1.52164,-3.82707,-3.70081,-0.52004,-2.42429
5,-6.19749,-0.17389,-2.92912,-2.82233,-1.62779,-0.27821,-2.11965,-2.14983,-4.40615,-0.38021,-2.53067,-0.56104,-2.56722,-0.55261
6,-5.99121,-2.66409,-1.55588,-0.98815,-0.08525,-0.86577,-0.74073,-0.53737,-1.61791,-3.29737,-0.03498,-5.67281,-0.97181,-2.32374
7,-5.96423,-0.25545,-2.95138,-2.20028,-1.06652,-1.40745,-0.45044,-2.82725,-2.93864,-4.75988,-2.13266,-0.54532,-1.08072,-1.48001
8,-5.93293,-4.01336,-0.4266,-2.87063,-2.60171,-1.65036,-0.35728,-2.34004,-4.19873,-0.50743,-0.21795,-2.35936,-0.80625,-1.0118
9,-5.86185,-0.85674,-1.51714,-1.02903,-1.16818,-2.22397,-1.98556,-1.81695,-2.02705,-3.51126,-0.86006,-3.83662,-2.15965,-3.38059
10,-5.81323,-1.3465,-1.63677,-2.51388,-0.4503,-1.52793,-0.84012,-3.94473,-4.14178,-2.13966,-3.23112,-0.04906,-1.44295,-1.52758
11,-5.74265,-2.17738,-1.4605,-1.06693,-2.81748,-2.49715,-2.24289,-1.08138,-1.81835,-0.6864,-5.0745,-2.01104,-2.24722,-0.11589
12,-5.67808,-3.89049,-0.11213,-0.11138,-0.06247,-1.34128,-2.3821,-3.04544,-3.84298,-1.82792,-3.4502,-1.48139,-0.36185,-1.8728
13,-5.66855,-1.82123,-3.67656,-1.32654,-1.3126,-2.2465,-1.1376,-1.25253,-0.13054,-1.1381,-5.06681,-3.32392,-0.9631,-0.82487
14,-5.66135,-0.27905,-1.44178,-3.16062,-1.1491,-0.8966,-3.08163,-1.52259,-1.42148,-0.99332,-0.1335,-4.91092,-2.28607,-3.08148
15,-5.65437,-1.91668,-5.14087,-2.52801,-0.69133,-0.13627,-3.9046,-0.30151,-0.75963,-0.11367,-0.26653,-1.91776,-3.05661,-1.42126
