leaf_index,r0,r1
0,-10.0,-0.00893
1,-10.0,-0.00853
2,-10.0,-0.00733
3,-10.0,-0.00724
4,-10.0,-0.00609
5,-10.0,-0.00548
6,-10.0,-0.00406
7,-10.0,-0.00396
8,-10.0,-0.00347
9,-10.0,-0.0014
10,-10.0,-0.00049
11,-9.99999,-0.01638
12,-9.99999,-0.01524
13,-9.99999,-0.0149
14,-9.99999,-0.01374
15,-9.99999,-0.01135
16,-9.99998,-0.02088
17,-9.99998,-0.01942
18,-9.99997,-0.02526
19,-9.99996,-0.02971
20,-9.99996,-0.02742
21,-9.99996,-0.02674
22,-9.99994,-0.03545
23,-9.99993,-0.03824
24,-9.99992,-0.04021
25,-9.99992,-0.0402
26,-9.99991,-0.04129
27,-9.9999,-0.04417
28,-9.99989,-0.0466
29,-9.99988,-0.04859
30,-9.99987,-0.05085
31,-9.99987,-0.0505
32,-9.99987,-0.05039
33,-9.99984,-0.05738
34,-9.99984,-0.05602
35,-9.99983,-0.05805
36,-9.99982,-0.05924
37,-9.99981,-0.06144
38,-9.99981,-0.06097
39,-9.99981,-0.06091
40,-9.99978,-0.06611
41,-9.99977,-0.06832
42,-9.99977,-0.06803
43,-9.99976,-0.06979
44,-9.99975,-0.07128
45,-9.99972,-0.07491
46,-9.99971,-0.07591
47,-9.99968,-0.07997
48,-9.99966,-0.08207
49,-9.99964,-0.08467
50,-9.99963,-0.08623
51,-9.99958,-0.09163
52,-9.99955,-0.09504
53,-9.99954,-0.09606
54,-9.99948,-0.10241
55,-9.99946,-0.10368
56,-9.99945,-0.10533
57,-9.99944,-0.10619
58,-9.99943,-0.10683
59,-9.99943,-0.10658
60,-9.99937,-0.11203
61,-9.99936,-0.11312
62,-9.99934,-0.11476
63,-9.99933,-0.11565
64,-9.99926,-0.12175
65,-9.99914,-0.13083
66,-9.99913,-0.13155
67,-9.9991,-0.13414
68,-9.99908,-0.1355
69,-9.99905,-0.13782
70,-9.99902,-0.13977
71,-9.99901,-0.14079
72,-9.99899,-0.14237
73,-9.99895,-0.14464
74,-9.99891,-0.14787
75,-9.99891,-0.14786
76,-9.99891,-0.14733
77,-9.99889,-0.1491
78,-9.99888,-0.14943
79,-9.99885,-0.15182
80,-9.99876,-0.15762
81,-9.99874,-0.1585
82,-9.99864,-0.16502
83,-9.99863,-0.16528
84,-9.99862,-0.1659
85,-9.99858,-0.16881
86,-9.99858,-0.16861
87,-9.99858,-0.16851
88,-9.99856,-0.16963
89,-9.99856,-0.16953
90,-9.99848,-0.17444
91,-9.99844,-0.17655
92,-9.99844,-0.17643
93,-9.99835,-0.18181
94,-9.99833,-0.18265
95,-9.9982,-0.18987
96,-9.99819,-0.19015
97,-9.99814,-0.19268
98,-9.99813,-0.19335
99,-9.9981,-0.19499
100,-9.99806,-0.19686
101,-9.99804,-0.19818
102,-9.99803,-0.19848
103,-9.99802,-0.19907
104,-9.99802,-0.19881
105,-9.99795,-0.2023
106,-9.99793,-0.20363
107,-9.9979,-0.20495
108,-9.99788,-0.20582
109,-9.99787,-0.20625
110,-9.99787,-0.20624
111,-9.99782,-0.20897
112,-9.99767,-0.21568
113,-9.99759,-0.21935
114,-9.9975,-0.22345
115,-9.99733,-0.23096
116,-9.99732,-0.23163
117,-9.99732,-0.23155
118,-9.99718,-0.23737
119,-9.99713,-0.23975
120,-9.99713,-0.23951
121,-9.99707,-0.24217
122,-9.99705,-0.24287
123,-9.99689,-0.24926
124,-9.99687,-0.25036
125,-9.99684,-0.25146
126,-9.99684,-0.25143
127,-9.9968,-0.25291
128,-9.99677,-0.25427
129,-9.99662,-0.26005
130,-9.99659,-0.26118
131,-9.99649,-0.26496
132,-9.99633,-0.27072
133,-9.99626,-0.27364
134,-9.99619,-0.27588
135,-9.99614,-0.27794
136,-9.99611,-0.27891
137,-9.99607,-0.28047
138,-9.99602,-0.28223
139,-9.99599,-0.28302
140,-9.99596,-0.28435
141,-9.99589,-0.28665
142,-9.99587,-0.28742
143,-9.99581,-0.28938
144,-9.99579,-0.29024
145,-9.99554,-0.29872
146,-9.99554,-0.29865
147,-9.99553,-0.299
148,-9.9955,-0.29994
149,-9.99538,-0.30402
150,-9.99526,-0.30774
151,-9.9951,-0.31303
152,-9.99507,-0.31409
153,-9.99505,-0.31447
154,-9.99504,-0.31506
155,-9.99504,-0.31491
156,-9.99491,-0.31911
