leaf_index,r0,r1,r2,r3,r4,r5,is_dominated,ground_truth_pareto
0,9.44111,0.06144,1.44702,1.3151,2.44084,1.03951,0,1
1,9.29084,2.13743,2.12678,1.57435,0.40597,1.3947,0,1
2,9.25569,1.59518,1.42409,2.01617,2.33696,0.48287,0,1
3,9.21466,0.21681,1.88184,1.83242,2.79999,0.55142,0,1
4,9.19895,0.72555,2.70763,1.45173,1.48972,1.78742,0,1
5,9.07475,3.83596,0.2301,1.23298,0.95177,0.67481,0,1
6,9.06573,2.77264,2.60668,0.30175,0.30807,1.7732,0,1
7,9.05987,1.59316,1.60102,0.7243,2.75623,2.167,0,1
8,8.94131,2.39445,1.98936,2.72555,1.01774,1.37754,0,1
9,8.85643,1.74399,3.57794,0.85431,1.97212,1.04949,0,1
10,8.79562,1.10109,3.10976,0.83138,2.85888,1.69992,0,1
11,8.7592,0.91351,3.66005,0.55057,2.73953,1.11255,0,1
12,8.75591,4.28967,1.28585,0.93052,1.3155,0.82647,0,1
13,8.7541,1.10997,3.84107,2.38545,1.20782,0.48028,0,1
14,8.74694,1.00195,4.15285,0.6789,0.46912,2.13541,0,1
15,8.64473,4.40451,0.05675,0.18978,1.82357,1.58248,0,1
16,8.63429,3.13997,2.63023,2.53131,1.01824,1.10777,0,1
17,8.61048,1.64008,0.54873,0.47494,4.36221,1.90111,0,1
18,8.60819,1.91494,3.43402,1.31461,0.33882,2.932,0,1
19,8.59141,0.50014,1.7953,1.2467,0.2868,4.59107,0,1
20,8.57442,1.07265,3.64213,2.48335,2.08377,1.24682,0,1
21,8.55411,1.12679,0.21344,1.34147,1.46719,4.64324,0,1
22,8.48721,1.36397,2.07216,3.02005,3.15211,1.66026,0,1
23,8.45308,1.23245,2.24921,2.17038,2.94697,2.92786,0,1
24,8.42851,3.76378,3.67172,0.10595,0.8213,0.79174,0,1
25,8.40497,0.37405,3.32322,1.20391,3.52389,2.07498,0,1
26,8.3988,0.82825,4.58009,2.19489,0.16211,1.71847,0,1
27,8.39076,0.0,0.0,0.79433,0.0,0.0,1,0
28,8.3523,4.10102,0.80355,0.8565,2.90824,1.89303,0,1
29,8.34662,0.43276,0.2496,4.74165,0.96715,2.58179,0,1
30,8.3464,1.81886,4.48247,2.3742,0.57428,0.98495,0,1
31,8.34111,1.29398,1.43203,4.90598,1.53381,0.52869,0,1
32,8.33623,1.78024,0.28623,2.61575,1.98319,4.05966,0,1
33,8.31287,3.11457,2.34271,0.05668,2.7419,2.86112,0,1
34,8.30056,0.28398,2.54494,0.12776,3.07487,3.88229,0,1
35,8.24181,0.81678,0.21607,4.16268,1.27662,3.52151,0,1
36,8.22248,2.06981,3.90388,1.3983,0.31376,3.28828,0,1
37,8.21887,1.28331,4.41577,0.56802,2.0423,2.60973,0,1
38,8.19951,2.76471,3.11581,2.83883,1.05945,2.49693,0,1
39,8.12578,1.91787,0.92922,0.58323,4.09706,3.50771,0,1
40,8.06967,0.13347,0.01715,3.86986,4.39582,0.75054,0,1
41,8.06861,3.59452,3.37822,0.27136,1.4905,2.87564,0,1
42,8.06201,0.07543,0.35508,1.76748,5.1482,2.29005,0,1
43,8.05649,3.18444,0.04516,3.3173,3.40982,1.52283,0,1
44,8.04343,3.85454,0.8752,1.76037,3.88354,1.22436,0,1
45,8.02216,4.50752,2.19968,0.77072,0.50641,3.10454,0,1
46,8.00005,1.78909,0.0,1.93152,0.0,0.0,1,0
47,7.97794,1.58758,0.77156,2.77909,3.37169,3.761,0,1
48,7.96766,5.19502,1.05023,2.03225,1.11525,1.74681,0,1
49,7.96489,0.7197,2.71824,1.4382,1.64722,4.8859,0,1
50,7.96374,3.30732,3.14093,0.69022,3.81983,0.84108,0,1
51,7.91011,1.50108,1.89195,3.00564,2.2751,4.16982,0,1
52,7.87814,1.73289,4.51231,0.08084,3.20149,2.07726,0,1
53,7.85416,3.19839,3.08299,0.08206,3.1575,2.93277,0,1
54,7.82065,5.21812,0.22265,0.12746,1.94783,2.78366,0,1
55,7.78807,3.46044,3.61877,2.75014,0.29677,2.5738,0,1
56,7.78285,5.99427,0.11584,1.39013,0.62589,1.07629,0,1
57,7.78166,5.30035,2.5912,1.73484,1.27031,0.12001,0,1
58,7.77124,0.4858,3.00057,2.99174,3.12524,3.41332,0,1
59,7.76426,4.43236,1.10164,3.49133,1.95271,1.68947,0,1
60,7.74487,1.41461,5.99975,1.25195,0.53128,0.41129,0,1
61,7.72108,4.26616,1.61884,1.26758,0.86305,4.1488,0,1
62,7.70643,1.49512,3.3811,5.15785,0.04588,0.58154,0,1
63,7.65091,2.95252,3.014,3.24563,3.3486,1.38373,0,1
64,7.63549,2.84801,3.1877,2.43221,4.1641,0.41389,0,1
65,7.615,4.62758,1.99909,1.66824,2.30352,2.91746,0,1
66,7.59588,0.1805,3.12417,4.5157,3.25355,1.23793,0,1
67,7.59182,4.04328,1.35033,1.18814,1.4474,4.5482,0,1
68,7.57993,1.26232,2.60441,0.79386,4.84854,3.16697,0,1
69,7.57239,2.78377,2.40606,0.58629,3.72489,3.86029,0,1
70,7.54267,0.98787,4.49041,2.42469,1.95841,3.50057,0,1
71,7.4976,1.76121,1.8523,5.99302,1.08031,0.41206,0,1
72,7.49653,4.38231,3.31434,1.14817,2.615,2.33582,0,1
73,7.49116,1.37338,6.11622,1.09892,1.414,1.17523,0,1
74,7.48864,2.63589,4.52805,2.02401,2.06833,2.84509,0,1
75,7.47288,1.49565,4.0307,3.03303,3.57361,1.92421,0,1
76,7.43589,1.48783,0.05126,5.93707,2.49122,1.01798,0,1
77,7.4249,6.02716,0.18804,2.56326,1.36001,0.2983,0,1
78,7.41355,1.82888,1.67183,4.37844,2.53474,3.64745,0,1
79,7.39186,5.30134,1.56588,0.19002,1.51803,3.53039,0,1
80,7.38896,1.61046,1.62099,1.86955,5.97042,1.02023,0,1
81,7.38625,0.70394,2.34108,1.37232,4.76743,3.85429,0,1
82,7.37308,0.61767,1.21164,0.51006,2.20995,6.21643,0,1
83,7.3644,0.17004,1.29473,0.54849,1.1112,6.5211,0,1
84,7.35261,3.13841,2.14852,5.02928,1.55305,1.94108,0,1
85,7.34662,0.26321,0.58675,5.7584,0.87964,3.4177,0,1
86,7.34639,1.21361,1.37571,3.79972,4.28102,3.14646,0,1
87,7.33634,1.56679,0.03559,4.24216,5.06593,0.24997,0,1
88,7.33307,0.71481,5.83937,3.28122,0.36366,0.84752,0,1
89,7.2875,2.26631,0.66105,2.1802,2.72623,5.39755,0,1
90,7.27844,5.08149,0.17775,1.39705,1.80081,3.99705,0,1
91,7.27069,0.13578,6.69299,0.35608,0.50018,1.39484,0,1
92,7.25588,3.02578,3.16325,4.90754,2.01814,0.18429,0,1
