leaf_index,r0,r1,is_dominated,ground_truth_pareto
0,10.0,0.00873,0,1
1,9.99999,0.01633,0,1
2,9.99999,0.01588,0,0
3,9.99999,0.0118,0,0
4,9.99997,0.02638,0,1
5,9.99997,0.0255,0,0
6,9.99996,0.0284,0,1
7,9.99993,0.03745,0,1
8,9.99989,0.04766,0,1
9,9.99989,0.0475,0,0
10,9.99988,0.04809,0,1
11,9.99976,0.06911,0,1
12,9.99976,0.06903,0,0
13,9.99973,0.07403,0,1
14,9.99968,0.08003,0,1
15,9.9996,0.08994,0,1
16,9.9996,0.08927,0,0
17,9.99959,0.0903,0,1
18,9.99955,0.09499,0,1
19,9.9995,0.09959,0,1
20,9.99947,0.10275,0,1
21,9.99946,0.1038,0,1
22,9.99942,0.10811,0,1
23,9.99932,0.11674,0,1
24,9.99919,0.12736,0,1
25,9.999,0.14158,0,1
26,9.99899,0.14247,0,1
27,9.99898,0.14268,0,1
28,9.99888,0.14976,0,1
29,9.9988,0.15475,0,1
30,9.99878,0.15633,0,1
31,9.99872,0.15984,0,1
32,9.99871,0.16039,0,1
33,9.99869,0.16162,0,1
34,9.99869,0.16156,0,0
35,9.99863,0.16537,0,1
36,9.99847,0.17514,0,1
37,9.99846,0.17534,0,1
38,9.99826,0.18671,0,1
39,9.99825,0.18701,0,1
40,9.99815,0.1925,0,1
41,9.99812,0.19395,0,1
42,9.99794,0.20308,0,1
43,9.99791,0.20465,0,1
44,9.99775,0.21231,0,1
45,9.99768,0.21544,0,1
46,9.99766,0.21612,0,1
47,9.99761,0.21881,0,1
48,9.99725,0.23458,0,1
49,9.99723,0.23522,0,1
50,9.99718,0.23756,0,1
51,9.99703,0.24359,0,1
52,9.99688,0.24979,0,1
53,9.99662,0.25984,0,1
54,9.99653,0.26351,0,1
55,9.99646,0.26608,0,1
56,9.99634,0.27053,0,1
57,9.99625,0.2737,0,1
58,9.99615,0.2773,0,1
59,9.99613,0.27834,0,1
60,9.99584,0.28843,0,1
61,9.99579,0.28998,0,1
62,9.99579,0.28997,0,0
63,9.99559,0.29681,0,1
64,9.99558,0.29723,0,1
65,9.99528,0.30707,0,1
66,9.99522,0.30904,0,1
67,9.99504,0.31502,0,1
68,9.99447,0.33267,0,1
69,9.99438,0.33507,0,1
70,9.99426,0.33881,0,1
71,9.99425,0.33893,0,1
72,9.99415,0.34193,0,1
73,9.99359,0.35804,0,1
74,9.99323,0.36784,0,1
75,9.99322,0.36812,0,1
76,9.993,0.37418,0,1
77,9.99299,0.37426,0,1
78,9.99296,0.37513,0,1
79,9.99287,0.37747,0,1
80,9.99283,0.37874,0,1
81,9.99283,0.3786,0,0
82,9.99281,0.37906,0,1
83,9.99244,0.3889,0,1
84,9.99222,0.3943,0,1
