leaf_index,r0,r1,is_dominated,ground_truth_pareto
0,9.99999,0.01588,0,1
1,9.99718,0.23756,0,1
2,9.99646,0.26608,0,1
3,9.99094,0.42551,0,1
4,9.98389,0.56743,0,1
5,9.97143,0.75538,0,1
6,9.95619,0.93505,0,1
7,9.95082,0.99051,0,1
8,9.94906,1.00803,0,1
9,9.9462,1.03589,0,1
10,9.94271,1.06884,0,1
11,9.92209,1.24587,0,1
12,9.92106,1.25402,0,1
13,9.91292,1.3168,0,1
14,9.91003,1.33837,0,1
15,9.89321,1.45754,0,1
16,9.89223,1.46418,0,1
17,9.89019,1.4779,0,1
18,9.86183,1.65659,0,1
19,9.85712,1.68439,0,1
20,9.85004,1.72533,0,1
21,9.83013,1.83537,0,1
22,9.82725,1.85073,0,1
23,9.82466,1.8644,0,1
24,9.80778,1.95127,0,1
25,9.8077,1.9517,0,1
26,9.77062,2.12955,0,1
27,9.76771,2.14284,0,1
28,9.76635,2.14903,0,1
29,9.76524,2.15407,0,1
30,9.76032,2.17627,0,1
31,9.74552,2.24161,0,1
32,9.71568,2.36761,0,1
33,9.71221,2.3818,0,1
34,9.69747,2.4411,0,1
35,9.68623,2.48534,0,1
36,9.67767,2.51846,0,1
37,9.61628,2.74356,0,1
38,9.60329,2.78868,0,1
39,9.47689,3.19194,0,1
40,9.44197,3.29381,0,1
41,9.43895,3.30244,0,1
42,9.42616,3.33879,0,1
43,9.41824,3.36107,0,1
44,9.41431,3.37204,0,1
45,9.37536,3.47889,0,1
46,9.36967,3.49419,0,1
47,9.34686,3.55474,0,1
48,9.34633,3.55613,0,1
49,9.32942,3.60027,0,1
50,9.28034,3.72496,0,1
51,9.27423,3.74015,0,1
52,9.27307,3.743,0,1
53,9.26152,3.7715,0,1
54,9.24202,3.81905,0,1
55,9.21368,3.88692,0,1
56,9.20453,3.90854,0,1
57,9.20221,0.0,1,0
58,9.19557,3.92957,0,1
59,9.17622,0.0,1,0
60,9.15778,4.01684,0,1
61,9.14566,4.04436,0,1
62,9.06798,4.21565,0,1
63,8.99553,0.0,1,0
64,8.98,4.39996,0,1
65,8.96395,4.43256,0,1
66,8.95022,4.46022,0,1
67,8.90499,4.54984,0,1
68,8.84696,4.66168,0,1
69,8.79643,4.75635,0,1
70,8.77235,4.80061,0,1
71,8.68453,4.95771,0,1
72,8.59572,1.34474,1,0
73,8.55737,5.17411,0,1
74,8.55425,5.17927,0,1
75,8.52419,5.22859,0,1
76,8.41856,5.39702,0,1
77,8.31757,5.5514,0,1
78,8.26447,5.63015,0,1
79,8.24417,5.65983,0,1
80,8.22891,5.68199,0,1
81,8.07388,5.90022,0,1
82,8.01825,5.97559,0,1
83,8.01718,5.97702,0,1
84,7.99448,6.00736,0,1
85,7.98484,6.02016,0,1
86,7.88053,6.15608,0,1
87,7.85028,6.1946,0,1
88,7.84153,0.0,1,0
89,7.77744,6.28581,0,1
90,7.76158,6.30538,0,1
91,7.72467,6.35055,0,1
92,7.67733,6.4077,0,1
93,7.59073,6.51006,0,1
94,7.56241,6.54293,0,1
95,7.49054,6.62508,0,1
96,7.47745,6.63986,0,1
97,7.476,6.64149,0,1
98,7.44323,6.6782,0,1
99,7.35937,0.0,1,0
100,7.3318,6.80034,0,1
101,7.3285,0.0,1,0
102,7.327,6.80552,0,1
103,7.31103,6.82267,0,1
104,7.2743,5.22596,1,0
105,7.24252,0.0,1,0
106,7.24061,2.65588,1,0
107,7.18925,4.48317,1,0
108,7.1457,1.90745,1,0
109,7.13655,3.91893,1,0
110,7.13312,7.00846,0,1
111,7.07225,7.06989,0,1
112,7.0206,0.0,1,0
113,6.97667,0.0,1,0
114,6.92422,2.35196,1,0
115,6.91785,7.22103,0,1
116,6.89151,7.24617,0,1
117,6.86658,7.2698,0,1
118,6.80476,7.3277,0,1
119,6.78306,7.3478,0,1
120,6.70739,7.41694,0,1
121,6.67519,7.44593,0,1
122,6.66571,7.45441,0,1
123,6.66526,7.45482,0,1
124,6.55096,7.55546,0,1
125,6.54674,2.34429,1,0
126,6.44516,0.0,1,0
127,6.43792,0.0,1,0
128,6.43119,7.65766,0,1
129,6.3842,1.56732,1,0
130,6.38086,7.69965,0,1
131,6.38054,5.83259,1,0
132,6.37339,4.11075,1,0
133,6.3253,6.0964,1,0
134,6.26998,0.9619,1,0
135,6.23681,7.81679,0,1
136,6.2272,7.82444,0,1
137,6.16663,7.87227,0,1
138,6.1382,0.0,1,0
139,6.02165,7.98372,0,1
140,5.94349,2.74629,1,0
141,5.92889,8.05284,0,1
142,5.77054,3.81314,1,0
143,5.74346,8.18613,0,1
144,5.68953,8.2237,0,1
145,5.68216,8.2288,0,1
146,5.68174,8.22908,0,1
147,5.67964,8.23053,0,1
148,5.67631,8.23283,0,1
149,5.6566,8.24639,0,1
150,5.65269,8.24907,0,1
151,5.5517,4.88822,1,0
152,5.48465,0.69202,1,0
153,5.32714,8.46295,0,1
154,5.12652,8.58597,0,1
155,4.97369,8.67539,0,1
156,4.78958,8.77838,0,1
157,4.7791,8.78409,0,1
158,4.70751,8.82266,0,1
159,4.69206,3.17291,1,0
160,4.48298,4.49872,1,0
161,4.37462,8.99237,0,1
162,4.34969,9.00446,0,1
163,4.23865,6.60251,1,0
164,4.22105,9.06547,0,1
165,4.16765,4.38268,1,0
166,4.16392,9.09185,0,1
167,4.04168,9.14685,0,1
168,4.03892,9.14807,0,1
169,3.98978,9.1696,0,1
170,3.94294,4.35942,1,0
171,3.88303,9.21532,0,1
172,3.86284,9.2238,0,1
173,3.85724,9.22614,0,1
174,3.8336,9.23599,0,1
175,3.80047,9.24967,0,1
176,3.75018,4.61247,1,0
177,3.74783,9.27112,0,1
178,3.73277,9.2772,0,1
179,3.69645,9.29173,0,1
180,3.68574,9.29598,0,1
181,3.66723,7.13566,1,0
182,3.58936,9.33362,0,1
183,3.50356,9.36617,0,1
184,3.48201,9.3742,0,1
185,3.48024,9.37486,0,1
186,3.20174,4.70413,1,0
187,3.18796,9.47823,0,1
188,3.10609,9.50538,0,1
189,3.00911,9.53652,0,1
190,2.8118,9.59655,0,1
191,2.80488,5.46902,1,0
192,2.79469,9.60155,0,1
193,2.76147,6.83165,1,0
194,2.7244,9.62173,0,1
195,2.689,9.63168,0,1
196,2.67512,9.63555,0,1
197,2.65353,9.64151,0,1
198,2.62002,9.65067,0,1
199,2.53625,9.67303,0,1
200,2.53199,9.67414,0,1
201,2.49152,9.68464,0,1
202,2.39454,7.56268,1,0
203,2.33229,9.72422,0,1
204,2.32996,9.72478,0,1
205,2.31586,9.72814,0,1
206,2.31119,5.25182,1,0
207,2.16732,9.76231,0,1
208,2.12282,7.75338,1,0
209,2.06387,8.71307,1,0
210,2.02016,9.79382,0,1
211,1.90304,6.10626,1,0
212,1.81009,9.83482,0,1
213,1.71463,9.85191,0,1
214,1.66704,7.53018,1,0
215,1.60716,9.87001,0,1
216,1.5978,9.87153,0,1
217,1.54367,8.03599,1,0
218,1.51408,9.88471,0,1
219,1.50952,5.5981,1,0
220,1.48204,5.99465,1,0
221,1.47996,9.88988,0,1
222,1.39302,9.9025,0,1
223,1.34977,9.90849,0,1
224,1.34396,9.90928,0,1
225,1.31413,9.91328,0,1
226,1.01868,9.94798,0,1
