leaf_index,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
0,-8.56089,-0.15106,-0.74914,-0.75435,-1.87321,-2.30733,-0.27252,-2.60651,-2.62233,-0.76262,-1.54887
1,-8.2413,-3.04991,-2.29772,-0.19012,-2.18194,-1.10808,-1.98788,-1.98389,-1.15602,-0.27332,-1.47512
2,-8.13191,-0.46681,-2.18434,-0.8773,-3.52901,-3.35901,-0.33953,-1.54517,-0.51975,-1.23724,-0.26947
3,-8.02348,-0.32567,-0.0709,-4.52617,-0.55431,-1.00673,-2.43223,-1.85128,-0.33384,-0.91871,-1.84589
4,-7.80802,-1.4388,-0.86892,-1.73766,-0.45614,-2.77889,-2.20328,-3.57632,-2.74043,-0.21104,-0.24688
5,-7.72549,-1.8501,-4.58009,-3.14579,-2.03495,-0.5891,-0.0583,-0.23517,-0.41255,-0.64924,-0.93925
6,-7.64127,-3.39782,-1.98439,-1.2603,-0.10873,-1.10422,-0.94473,-0.68537,-2.0635,-4.20551,-0.04462
7,-7.54722,-0.33717,-0.46467,-3.50332,-0.16566,-1.43175,-3.91101,-0.25386,-1.67922,-3.17161,-0.34634
8,-7.51836,-0.24927,-1.92097,-0.79609,-0.61792,-2.21644,-1.38955,-0.0624,-2.11501,-5.20662,-0.52611
9,-7.51497,-2.82208,-1.62547,-0.07121,-3.30355,-1.31346,-2.66591,-1.00806,-2.85678,-1.99595,-0.08361
10,-7.19706,-0.25757,-2.81826,-3.57118,-0.37713,-2.3132,-3.33401,-0.45749,-3.13015,-0.76589,-0.48732
11,-7.17553,-0.39105,-5.65073,-1.40638,-2.20317,-2.05694,-0.27771,-0.60518,-1.60997,-1.10646,-1.0515
12,-7.10708,-3.478,-0.48053,-1.52407,-2.05376,-1.48275,-2.33324,-1.04094,-1.15261,-0.15135,-4.53252
13,-7.08057,-3.45255,-2.83414,-1.6981,-1.05935,-2.22025,-2.3898,-2.15168,-1.59661,-2.46262,-1.42241
14,-6.9544,-0.91427,-0.14487,-2.80924,-4.0964,-4.03432,-1.68404,-0.40454,-1.45291,-1.07647,-1.88733
15,-6.89604,-1.38229,-0.39565,-1.70717,-0.17293,-1.88008,-4.36424,-1.27774,-3.55291,-2.98834,-1.29066
16,-6.83674,-2.34679,-2.42099,-2.8574,-4.49443,-0.16399,-0.42745,-1.77413,-1.57181,-0.81622,-2.65173
17,-6.79772,-3.62551,-0.41691,-3.64379,-0.1238,-1.24632,-1.31414,-4.50625,-1.68505,-0.3256,-0.8052
18,-6.71582,-0.55493,-4.26421,-2.21969,-2.60328,-1.57216,-2.5033,-0.54949,-1.65836,-3.14909,-1.73067
19,-6.70741,-1.14905,-2.74754,-0.72238,-1.25945,-2.59926,-2.9304,-1.05324,-2.25109,-4.41425,-1.74
20,-6.53193,-0.46506,-2.76321,-0.63627,-1.05936,-1.18826,-4.85567,-2.38764,-3.97665,-0.6972,-0.98237
21,-6.52778,-1.93034,-3.45021,-0.15233,-1.29154,-4.09955,-0.37613,-2.58521,-2.1507,-1.28477,-3.18738
22,-6.52544,-1.51155,-2.69334,-1.10124,-0.8031,-1.88935,-0.71657,-1.6713,-2.48604,-2.97975,-4.90779
23,-6.52348,-2.54115,-4.72511,-2.43845,-0.43439,-0.32575,-1.25626,-2.74358,-1.0745,-3.24461,-1.27738
24,-6.47916,-5.95808,-0.91586,-0.60418,-2.25865,-0.50801,-0.75384,-1.69983,-1.86909,-1.29481,-2.7075
25,-6.45148,-3.94278,-1.13287,-3.28758,-1.41991,-3.23185,-1.03791,-0.84327,-1.52109,-1.99242,-3.19509
26,-6.42675,-0.17882,-0.01441,-4.0341,-0.24453,-2.29657,-0.20513,-2.95518,-1.27658,-4.0558,-3.19411
27,-6.38534,-2.09666,-3.02346,-0.12375,-1.85897,-0.73451,-1.85372,-0.94009,-1.19177,-2.70079,-5.35209
28,-6.20553,-2.5624,-2.10767,-1.00871,-3.61176,-5.28368,-1.32389,-0.22774,-1.78502,-1.37177,-1.27714
29,-6.1966,-0.62226,-3.25676,-2.02488,-2.14446,-2.55641,-3.3313,-2.66771,-3.92615,-0.79638,-1.05418
30,-6.18114,-1.95683,-2.00634,-1.55531,-4.98684,-0.50672,-0.32986,-3.71379,-2.06735,-0.21799,-2.85868
31,-6.16456,-2.19487,-4.85616,-0.27121,-1.66947,-0.75323,-0.54184,-1.10444,-2.5002,-2.66037,-3.91516
32,-6.15022,-4.15199,-0.48343,-0.7417,-3.80884,-4.24418,-1.01758,-2.14255,-2.05543,-1.07454,-0.7913
33,-6.12856,-4.51893,-1.81287,-1.25389,-0.0383,-1.89648,-4.40894,-1.42929,-2.71869,-0.95229,-1.94509
34,-6.09335,-1.06231,-3.90521,-1.87901,-0.19916,-4.13322,-2.35643,-3.73807,-2.50229,-0.22386,-0.0245
35,-6.06089,-2.41203,-1.13456,-3.17162,-3.25935,-3.30004,-2.19575,-3.00356,-2.0497,-1.44928,-2.10791
36,-6.05533,-1.16506,-2.28439,-3.3913,-3.10893,-0.28265,-3.15138,-1.18183,-4.50649,-0.57756,-1.88174
37,-6.04775,-0.04115,-6.70366,-0.41336,-0.24525,-1.98648,-0.75128,-0.28241,-2.19123,-2.97538,-0.09113
38,-6.02389,-0.05195,-0.64252,-1.16949,-2.44113,-0.84544,-0.52974,-4.34404,-5.40773,-1.17016,-2.34338
39,-5.9643,-0.70555,-1.24707,-0.457,-1.25873,-2.92153,-2.6718,-0.56887,-4.42957,-4.07562,-2.88992
40,-5.96119,-5.10699,-1.75225,-0.83717,-0.58779,-2.75966,-2.36793,-0.16995,-2.67927,-0.23234,-3.71241
41,-5.95562,-3.18904,-2.91844,-1.57792,-2.56417,-1.82211,-2.03609,-2.68853,-3.80011,-0.04992,-2.76426
42,-5.92674,-0.16224,-0.91533,-3.91148,-4.31631,-2.5087,-2.15009,-1.15325,-3.7705,-1.89703,-0.13227
43,-5.88994,-3.49864,-2.10459,-0.82662,-4.36968,-1.56494,-2.6654,-1.63832,-0.34674,-4.02343,-0.56199
44,-5.88876,-0.38965,-1.71114,-2.12218,-0.07118,-4.61155,-4.45419,-3.65073,-1.75675,-0.43574,-0.1546
45,-5.87205,-1.76159,-2.95019,-4.48431,-0.26926,-2.41247,-2.33442,-2.26514,-2.9397,-0.5285,-2.86516
46,-5.80596,-2.31741,-0.52337,-0.31663,-1.75329,-2.90556,-2.58358,-5.14325,-3.31239,-2.13431,-0.61227
47,-5.80317,-1.10417,-0.75262,-2.83749,-0.60603,-3.58083,-1.23154,-2.4596,-2.81331,-1.60341,-5.02441
48,-5.78289,-1.91245,-4.52736,-3.1746,-0.3308,-2.51664,-3.27811,-0.21522,-2.47662,-1.52616,-2.57442
