leaf_index,r0,r1,r2,r3,r4,r5,r6,r7
0,-9.43017,-1.19169,-0.53846,-1.43223,-1.66135,-1.63705,-0.83465,-1.0834
1,-9.20074,-1.08772,-1.44587,-2.24615,-0.11408,-2.33558,-0.69751,-1.03585
2,-9.18324,-2.83433,-1.00663,-0.94756,-0.50002,-1.00011,-0.65921,-2.00964
3,-9.02555,-1.66473,-1.1704,-2.1512,-2.36459,-1.40545,-1.45648,-0.28754
4,-8.96567,-0.58711,-2.42187,-0.04873,-0.62844,-1.9676,-2.85619,-0.98996
5,-8.95596,-1.3564,-0.31438,-2.18759,-0.57869,-3.13449,-1.07312,-1.32478
6,-8.92628,-2.68856,-2.3807,-0.77755,-0.8214,-1.38063,-1.85332,-0.89735
7,-8.9196,-2.25028,-2.5132,-0.60737,-2.0357,-0.26698,-1.0244,-1.85129
8,-8.80182,-0.2333,-2.65053,-0.37909,-3.90523,-0.00986,-0.22768,-0.04161
9,-8.56216,-1.66305,-1.14864,-3.18986,-2.25543,-1.36605,-2.22397,-0.72804
10,-8.55161,-0.43748,-0.40686,-2.82688,-2.4626,-3.33137,-1.08421,-0.42872
11,-8.53405,-2.60661,-1.11687,-1.6966,-1.85685,-3.29623,-0.13631,-1.38498
12,-8.44627,-0.75943,-1.72268,-3.79323,-0.79368,-1.61935,-1.60939,-2.21024
13,-8.43574,-0.33571,-0.72694,-1.38389,-2.10235,-0.62746,-3.61137,-2.90282
14,-8.42075,-3.18189,-1.87084,-0.75701,-2.25571,-1.2462,-2.64492,-1.12097
15,-8.41816,-0.51908,-0.30798,-2.49453,-0.94342,-0.35464,-2.75165,-3.73635
16,-8.39406,-1.497,-1.60401,-2.44233,-2.61915,-3.17512,-0.92561,-0.98126
17,-8.35988,-0.24038,-1.79997,-1.99937,-3.59587,-1.51528,-2.48086,-1.19843
18,-8.3555,-2.58821,-1.99737,-0.8277,-3.10099,-1.15545,-2.79906,-0.1622
19,-8.32415,-4.65219,-1.57496,-1.14418,-0.47808,-1.59536,-0.995,-1.2297
20,-8.31541,-0.89536,-0.02143,-2.3115,-0.40155,-4.19237,-2.0721,-1.63648
21,-8.31344,-3.71868,-2.1874,-1.67248,-0.93541,-2.39431,-1.34371,-1.031
22,-8.30551,-2.94093,-1.34995,-3.22557,-1.34695,-2.64716,-0.60531,-0.97702
23,-8.28002,-1.27429,-1.73212,-1.52882,-2.11472,-2.44729,-2.55152,-2.74013
24,-8.27817,-3.3412,-0.21834,-1.79121,-2.57367,-1.30208,-0.49163,-2.91399
25,-8.24436,-1.95281,-0.03784,-2.44479,-0.51564,-3.57478,-0.51165,-2.98862
26,-8.22031,-2.18484,-3.2579,-2.31789,-0.15939,-2.22983,-2.08728,-1.52059
27,-8.19244,-0.2075,-2.17917,-2.56567,-0.34602,-3.09031,-1.32625,-3.17502
28,-8.1701,-0.15933,-0.53223,-2.13798,-3.00111,-4.03745,-1.7474,-0.09311
29,-8.16459,-2.13698,-2.82202,-2.05118,-2.14239,-0.22119,-2.8874,-1.90416
30,-8.15541,-4.45803,-2.90597,-0.18058,-2.0379,-0.9228,-0.22128,-0.29079
31,-8.14472,-2.11722,-0.39188,-0.40501,-2.82873,-1.67245,-4.23573,-0.35091
32,-8.12812,-1.18796,-2.10368,-1.42686,-1.61982,-3.08378,-2.7532,-2.5194
33,-8.10785,-2.28352,-0.06943,-2.18844,-1.2371,-1.69254,-1.65807,-4.13641
34,-8.10686,-2.73075,-2.52078,-1.46957,-3.40849,-0.80882,-1.92627,-1.52493
35,-8.08482,-0.80927,-2.88237,-0.09368,-2.29353,-0.92721,-4.05945,-1.75066
36,-8.0829,-1.83293,-1.88813,-0.26995,-3.04851,-2.35585,-3.47337,-0.87262
37,-8.0588,-0.2157,-2.3034,-3.83262,-1.30453,-1.10947,-1.45154,-3.15831
38,-8.04178,-3.93542,-0.54373,-1.72451,-2.32386,-1.67776,-2.6401,-1.17784
39,-8.03017,-1.64791,-0.42336,-0.42378,-2.04249,-4.24183,-2.87091,-1.4265
40,-7.99046,-1.35933,-1.91256,-0.94151,-4.33398,-2.02774,-2.49857,-0.78895
41,-7.97976,-0.96783,-2.56335,-3.56158,-0.18184,-1.83687,-2.89191,-2.08828
42,-7.97238,-0.9019,-1.5617,-2.62992,-2.10534,-3.79867,-0.96557,-2.54513
43,-7.93403,-1.73601,-2.99881,-1.74389,-2.8572,-0.66558,-0.05808,-3.65972
44,-7.87723,-4.55848,-3.16591,-1.10597,-0.51275,-2.3318,-0.39085,-0.26509
45,-7.87277,-2.48693,-0.56083,-3.18899,-3.11111,-2.02413,-1.87034,-2.01895
46,-7.8532,-1.4592,-1.36574,-3.26008,-4.18325,-1.79553,-0.82182,-1.51847
47,-7.84762,-0.5063,-1.3323,-2.35299,-0.06197,-4.93985,-2.31333,-1.0438
48,-7.82089,-2.91053,-1.19208,-3.24568,-0.79886,-3.8586,-1.53054,-0.73317
49,-7.81105,-1.70946,-1.25927,-0.15311,-3.23347,-0.55832,-1.37662,-4.6684
50,-7.8011,-4.07159,-0.80153,-2.85901,-3.20486,-1.59445,-0.6973,-0.66999
51,-7.78621,-1.53498,-4.19225,-3.46872,-1.18107,-0.40715,-2.24446,-0.90198
52,-7.78306,-1.86389,-4.61422,-3.16924,-2.05011,-0.59349,-0.05873,-0.23693
53,-7.77997,-3.0537,-0.58763,-1.5108,-1.90892,-1.04247,-3.62081,-3.11097
54,-7.77422,-0.95201,-0.15397,-0.41069,-4.24392,-2.94477,-1.42744,-3.12134
55,-7.77093,-0.12319,-1.85479,-1.40649,-3.23458,-4.33339,-1.97649,-1.01572
56,-7.76071,-0.48722,-1.24811,-1.20426,-0.19343,-0.41017,-2.74307,-5.36618
57,-7.74437,-0.40844,-2.44541,-0.53025,-1.42731,-3.27696,-3.65427,-2.73264
58,-7.74176,-2.06339,-0.17601,-5.31367,-1.09339,-0.69162,-2.14278,-1.12968
59,-7.73894,-2.7177,-0.50436,-0.47411,-2.8523,-0.16555,-0.20826,-4.90279
60,-7.71738,-2.04632,-2.9645,-1.46487,-0.26361,-4.36651,-2.2345,-1.09163
61,-7.70373,-1.70998,-2.81334,-1.83204,-4.05463,-0.14553,-0.22372,-3.15374
62,-7.67954,-0.78044,-4.24156,-0.4039,-0.35388,-2.56688,-0.1893,-3.9385
63,-7.67351,-3.30938,-3.64763,-1.67731,-2.15406,-1.89868,-1.44344,-1.92826
64,-7.65483,-2.59523,-0.15678,-2.685,-1.72697,-0.4719,-0.16943,-4.91942
65,-7.65415,-0.32326,-3.4121,-2.73276,-0.2026,-0.20462,-4.58789,-1.03316
66,-7.62994,-2.74319,-2.29935,-1.51111,-1.48128,-1.04249,-2.40586,-4.19754
67,-7.60989,-0.79959,-1.4588,-4.76751,-2.03445,-0.32386,-0.75316,-3.43248
68,-7.60042,-0.5615,-2.98883,-3.52445,-1.69948,-0.46025,-2.39796,-3.42246
69,-7.59753,-0.10192,-2.19364,-3.55081,-0.80605,-4.43964,-2.10549,-0.23183
70,-7.58404,-0.74,-2.50097,-4.84031,-1.77672,-2.71278,-1.10106,-0.72325
71,-7.5711,-0.27625,-0.72007,-2.98861,-2.6478,-1.37497,-4.46698,-2.07279
72,-7.56289,-2.48746,-0.02665,-5.22449,-1.41843,-1.37703,-0.73412,-2.20729
73,-7.54484,-2.43854,-1.50128,-0.24251,-4.07294,-2.30434,-3.57382,-0.3811
74,-7.53955,-3.5985,-1.46189,-1.26469,-1.36485,-3.85025,-3.12186,-0.19026
75,-7.53085,-2.67074,-2.4174,-1.25722,-4.17109,-0.02758,-3.20466,-1.0298
76,-7.52385,-4.79965,-1.10629,-3.01759,-0.87586,-0.8058,-1.52936,-2.504
77,-7.51855,-2.94286,-0.4036,-3.62371,-2.96534,-3.06625,-1.72705,-0.58224
78,-7.51644,-3.70401,-1.02787,-0.11724,-1.90439,-3.65913,-2.4339,-2.40278
79,-7.51144,-1.26967,-2.08137,-1.76649,-3.49116,-3.81226,-2.16001,-1.76819
80,-7.50763,-1.80002,-3.79,-3.63589,-1.90078,-1.39975,-2.63418,-0.54822
81,-7.50753,-1.24581,-4.07299,-1.61978,-0.17538,-0.00167,-0.04772,-4.77901
82,-7.5029,-3.77772,-1.31129,-1.65543,-1.13321,-1.76278,-4.52383,-0.34459
83,-7.49602,-2.06559,-4.28548,-0.10318,-3.25927,-0.36305,-1.51276,-2.85025
84,-7.48852,-0.64709,-2.1701,-0.24187,-5.22393,-1.18093,-1.1455,-2.95624
85,-7.48149,-1.38204,-5.24807,-1.75981,-2.76154,-0.76818,-1.65506,-0.72293
86,-7.47769,-0.2095,-4.9781,-0.39445,-0.81212,-3.83927,-0.44053,-1.8734
87,-7.47694,-4.92427,-3.04399,-1.56535,-1.84153,-0.37093,-1.4614,-1.57042
88,-7.46689,-1.23897,-2.54061,-1.46934,-1.25148,-4.92641,-1.37726,-2.52275
89,-7.43596,-1.64793,-1.90941,-2.06094,-0.80355,-0.0301,-4.94591,-2.99815
90,-7.43076,-2.94036,-4.40758,-1.37557,-0.27994,-2.19308,-1.50524,-2.76866
91,-7.42994,-2.4758,-1.5889,-2.01466,-0.86741,-4.50164,-2.32672,-2.37741
92,-7.42512,-0.89735,-0.38543,-4.17234,-1.42579,-1.78929,-0.3091,-4.60168
93,-7.40377,-5.57352,-2.0152,-0.12463,-0.96149,-1.63417,-2.23476,-1.20598
94,-7.38653,-0.70141,-5.16029,-1.27907,-1.81661,-0.57795,-1.38087,-3.33793
95,-7.36525,-1.94136,-3.10752,-1.83978,-1.3411,-2.29468,-1.15156,-4.5335
96,-7.36371,-2.53441,-1.76581,-0.50676,-2.10543,-2.21878,-2.53575,-4.49353
97,-7.33496,-0.18685,-1.12259,-3.03959,-2.32993,-1.44105,-4.58749,-2.66718
98,-7.33085,-2.77956,-1.86442,-1.362,-3.59669,-3.18777,-2.86319,-1.38045
99,-7.32739,-1.28609,-2.68839,-0.62075,-5.41351,-1.22412,-0.01386,-2.49758
100,-7.31727,-0.21323,-3.38608,-0.6263,-3.79141,-0.39109,-1.13026,-4.33003
101,-7.31148,-1.04613,-1.04791,-1.03122,-3.13655,-4.00403,-1.05488,-4.03775
102,-7.30988,-1.07458,-1.97681,-2.66427,-2.90976,-0.7115,-3.29417,-3.81841
103,-7.30085,-2.73006,-0.52753,-1.30456,-2.25266,-1.56034,-5.24686,-1.49182
104,-7.3003,-1.69094,-2.05547,-3.15695,-0.56548,-1.91878,-1.05503,-4.95383
105,-7.28951,-3.87311,-1.41928,-4.72945,-2.47222,-0.68625,-0.62954,-0.7077
106,-7.2818,-2.5636,-0.99395,-2.28742,-0.00907,-5.24853,-0.21147,-2.56733
107,-7.28,-3.71843,-1.92376,-4.5573,-1.93079,-0.03188,-1.62704,-1.52603
108,-7.25831,-1.73572,-1.08965,-4.17388,-4.18232,-1.75045,-1.74741,-1.44439
109,-7.24556,-3.90315,-3.33796,-2.1427,-1.739,-2.09345,-3.01914,-0.11109
110,-7.23012,-3.4594,-2.30393,-2.88172,-1.19844,-3.60387,-0.17698,-2.77309
111,-7.22694,-1.928,-1.06626,-4.73692,-3.85559,-1.69921,-0.22356,-1.63586
112,-7.22436,-4.83269,-0.10288,-0.71603,-3.18483,-0.34368,-1.7299,-3.26752
113,-7.20177,-2.82218,-0.28645,-4.28666,-3.86381,-1.30841,-2.21259,-0.41927
114,-7.18491,-4.31844,-3.78052,-0.07248,-3.87979,-0.23257,-0.20093,-0.53225
115,-7.17977,-2.59053,-2.56332,-4.38708,-2.22157,-2.446,-0.25492,-2.22254
116,-7.17948,-1.28045,-0.45743,-4.035,-3.83161,-2.873,-2.70108,-0.30636
117,-7.17219,-3.3055,-2.75366,-3.49736,-0.91351,-3.01503,-0.09928,-2.80792
118,-7.1633,-2.5914,-3.98832,-1.49607,-2.78964,-1.28116,-0.87129,-3.69381
119,-7.15263,-1.10352,-4.32636,-0.30487,-3.1159,-1.19126,-3.54742,-2.25826
120,-7.15068,-3.79276,-0.79655,-5.62139,-1.00307,-0.29552,-1.02733,-0.31515
121,-7.13761,-2.29677,-3.88177,-2.75437,-0.25335,-2.76326,-3.36237,-1.45578
122,-7.11547,-4.02233,-1.14561,-2.66375,-1.90062,-4.39466,-1.34954,-0.19026
123,-7.10599,-0.01962,-3.58013,-2.57549,-0.72064,-1.77528,-4.74902,-1.95703
124,-7.0891,-4.85729,-0.13999,-0.13906,-0.07799,-1.67459,-2.97407,-3.80224
125,-7.08583,-4.87697,-0.49645,-1.21342,-2.69855,-1.33264,-3.74568,-1.09501
126,-7.08539,-3.46306,-1.3519,-4.13468,-2.18642,-1.35061,-1.76178,-3.02866
127,-7.07547,-1.55403,-1.52373,-1.23009,-2.65876,-1.04766,-5.42807,-2.46117
128,-7.07302,-0.17792,-5.81225,-0.04354,-1.8321,-3.01399,-1.71273,-0.88457
129,-7.07191,-1.39405,-3.02383,-0.79603,-3.72733,-0.42319,-3.86298,-3.04514
130,-7.06555,-1.88387,-2.92211,-1.01229,-0.27621,-6.06688,-0.14209,-0.24904
131,-7.06313,-1.68769,-2.00974,-1.46165,-4.81715,-3.78258,-1.8494,-0.39392
132,-7.05873,-5.51727,-0.31364,-1.03518,-0.12098,-0.37504,-3.44296,-2.56024
133,-7.05749,-3.51935,-2.65286,-1.36361,-2.33236,-0.08784,-0.88795,-4.76161
134,-7.048,-2.21946,-4.01295,-0.90575,-3.9486,-2.64454,-0.44648,-2.38561
135,-7.04321,-2.49027,-0.68951,-4.29312,-0.06655,-0.70277,-0.89344,-4.89785
136,-7.02805,-1.75037,-1.65932,-2.20518,-4.50349,-3.75567,-1.7364,-1.58905
137,-7.02656,-1.18888,-0.61161,-1.24108,-5.92848,-0.63181,-1.81767,-2.90685
138,-7.02081,-1.23431,-0.58178,-2.71798,-2.65218,-5.54176,-1.63665,-1.01732
139,-7.0196,-2.60309,-2.17592,-2.04366,-3.55408,-3.57417,-2.22828,-2.16023
140,-7.00852,-0.54119,-1.36349,-0.20404,-0.47841,-3.44227,-5.48643,-2.55107
141,-7.0067,-1.47251,-3.46983,-1.17692,-5.2675,-1.25985,-2.31299,-0.79328
142,-7.00112,-2.77807,-0.9869,-4.16003,-2.73438,-2.32248,-2.05342,-2.81061
143,-6.98151,-2.87139,-0.40522,-0.07857,-6.31668,-1.24906,-0.4081,-1.10277
