leaf_index,r0,r1,r2,r3,r4,r5,r6,r7
0,-9.56556,-0.93839,-0.32511,-0.16927,-0.19654,-0.4208,-2.63704,-0.56165
1,-9.50296,-1.26083,-0.14918,-0.03428,-1.32342,-2.12996,-1.15001,-0.68551
2,-9.49398,-0.45368,-0.57443,-0.38019,-0.9049,-1.75759,-0.95703,-2.08807
3,-9.47178,-0.15496,-1.52676,-1.81117,-1.48867,-0.96543,-0.8782,-0.85478
4,-9.43017,-1.19169,-0.53846,-1.43223,-1.66135,-1.63705,-0.83465,-1.0834
5,-9.35777,-1.77184,-0.88612,-1.7836,-1.50883,-1.15393,-0.98698,-0.8626
6,-9.23635,-0.28159,-0.30761,-1.97159,-2.82712,-0.51253,-1.40486,-0.63233
7,-9.22264,-0.56135,-0.89811,-0.19533,-1.6082,-3.34404,-0.11849,-0.00627
8,-9.20074,-1.08772,-1.44587,-2.24615,-0.11408,-2.33558,-0.69751,-1.03585
9,-9.19805,-1.1153,-0.97554,-0.13184,-2.46935,-2.34509,-1.24115,-0.21288
10,-9.18324,-2.83433,-1.00663,-0.94756,-0.50002,-1.00011,-0.65921,-2.00964
11,-9.16148,-1.46283,-0.95674,-1.12996,-0.67001,-1.98359,-2.56872,-0.86797
12,-9.03392,-1.84008,-1.22962,-1.26302,-0.02556,-3.42539,-0.39815,-0.0519
13,-9.02555,-1.66473,-1.1704,-2.1512,-2.36459,-1.40545,-1.45648,-0.28754
14,-8.99518,-1.79985,-2.27426,-2.58234,-1.94091,-0.07875,-0.47909,-0.06054
15,-8.98241,-1.06892,-0.54172,-1.25588,-2.58458,-2.74851,-0.76749,-1.21642
16,-8.96567,-0.58711,-2.42187,-0.04873,-0.62844,-1.9676,-2.85619,-0.98996
17,-8.95596,-1.3564,-0.31438,-2.18759,-0.57869,-3.13449,-1.07312,-1.32478
18,-8.95531,-0.79309,-1.23608,-0.89661,-2.32772,-0.64537,-0.39594,-3.29396
19,-8.95512,-1.281,-1.63372,-1.41372,-2.65643,-1.42154,-0.17204,-2.09528
20,-8.93986,-1.1263,-3.14385,-0.70513,-1.17963,-2.18045,-1.08143,-1.05548
21,-8.92628,-2.68856,-2.3807,-0.77755,-0.8214,-1.38063,-1.85332,-0.89735
22,-8.92614,-1.17686,-0.20296,-0.4046,-0.80799,-0.21424,-4.19925,-0.6338
23,-8.92094,-2.0645,-1.06641,-0.98106,-1.52672,-0.3099,-3.40524,-0.18001
24,-8.9196,-2.25028,-2.5132,-0.60737,-2.0357,-0.26698,-1.0244,-1.85129
25,-8.90874,-1.13874,-0.93426,-2.45414,-0.45724,-0.82257,-1.87795,-2.83366
26,-8.86682,-3.79308,-1.75124,-1.82514,-0.26159,-0.65169,-0.08125,-0.30731
27,-8.85962,-0.68692,-1.56067,-2.57573,-2.6549,-0.8681,-0.51055,-1.97548
28,-8.85746,-1.90555,-0.51536,-0.60385,-3.01316,-1.39246,-1.12093,-2.23819
29,-8.84997,-2.50857,-2.16307,-0.52718,-0.37009,-2.84455,-1.15941,-0.92506
30,-8.8323,-2.66709,-1.51745,-0.34481,-2.62235,-1.92437,-1.36742,-0.07546
31,-8.81748,-3.5535,-1.39978,-1.9123,-1.02754,-1.41595,-0.20346,-0.95193
32,-8.81016,-0.153,-3.86698,-0.28586,-0.57815,-1.02676,-0.12831,-2.43258
33,-8.80182,-0.2333,-2.65053,-0.37909,-3.90523,-0.00986,-0.22768,-0.04161
34,-8.79747,-2.16785,-1.81611,-2.67902,-2.18001,-1.09898,-1.20671,-0.11473
35,-8.75918,-2.31426,-1.41185,-0.67006,-1.36703,-1.28455,-0.60574,-3.40484
36,-8.75831,-2.99068,-3.46468,-1.23304,-0.21778,-0.72861,-0.32433,-0.37419
37,-8.75552,-1.03071,-1.4932,-1.44309,-1.09407,-2.26203,-0.60376,-3.35978
38,-8.7299,-0.79873,-0.08296,-1.59171,-4.12145,-0.78185,-0.52378,-1.65485
39,-8.71327,-2.42353,-0.21293,-2.80206,-0.65217,-0.27462,-1.98512,-2.42219
40,-8.70624,-0.42864,-3.56916,-0.31644,-0.77011,-0.24895,-0.02198,-3.24393
41,-8.70454,-0.43928,-0.04838,-1.86484,-1.0708,-0.09236,-4.13175,-1.52695
42,-8.70288,-2.78267,-0.34415,-3.11581,-0.55392,-0.01724,-1.6586,-1.90574
43,-8.7025,-1.6367,-0.98834,-2.07622,-2.31925,-0.62204,-2.27552,-2.31438
44,-8.70169,-1.25257,-1.35738,-1.35249,-1.20688,-2.16907,-0.08632,-3.58763
45,-8.6976,-1.94233,-2.86058,-0.84357,-0.83648,-1.6143,-2.7507,-0.9014
46,-8.68627,-2.06335,-0.37863,-2.72826,-3.11274,-1.04943,-1.1487,-0.77117
47,-8.6859,-1.08888,-0.72374,-2.33487,-1.97394,-2.23754,-2.59468,-1.32618
48,-8.67869,-2.17217,-2.49374,-0.8876,-1.48431,-2.31544,-2.20214,-0.73591
49,-8.65752,-0.05715,-2.40424,-0.45768,-2.8594,-1.57401,-2.8932,-0.17315
50,-8.64505,-2.45274,-1.16677,-1.2862,-0.95986,-3.84607,-0.65619,-0.29549
51,-8.63919,-0.3772,-3.25931,-1.42833,-3.42486,-0.22674,-0.66807,-0.57574
52,-8.63624,-2.19694,-0.46578,-0.72851,-3.45893,-0.90347,-0.54179,-2.60137
53,-8.62907,-1.87549,-3.40681,-3.05162,-0.0434,-0.57001,-0.05293,-0.87935
54,-8.61958,-0.29972,-0.82674,-2.96636,-2.98774,-1.87223,-0.76664,-1.7637
55,-8.60831,-0.15918,-1.4134,-1.28289,-3.1077,-3.44683,-0.82483,-0.09658
56,-8.60413,-2.30632,-2.12845,-0.41584,-0.0405,-2.93812,-2.55807,-0.87671
57,-8.59119,-3.35912,-0.64696,-1.20114,-3.00191,-1.82477,-0.46835,-0.69705
58,-8.58321,-4.01469,-1.87281,-0.313,-1.28111,-1.95602,-0.4027,-0.9879
59,-8.57008,-2.92017,-0.37378,-1.69221,-1.17727,-0.25951,-1.77768,-3.22637
60,-8.56216,-1.66305,-1.14864,-3.18986,-2.25543,-1.36605,-2.22397,-0.72804
61,-8.55161,-0.43748,-0.40686,-2.82688,-2.4626,-3.33137,-1.08421,-0.42872
62,-8.53866,-0.38363,-1.7969,-3.36671,-0.96615,-0.21788,-3.10938,-1.3158
63,-8.53405,-2.60661,-1.11687,-1.6966,-1.85685,-3.29623,-0.13631,-1.38498
64,-8.52958,-2.227,-1.35945,-1.99721,-0.55131,-1.52941,-0.98152,-3.58376
65,-8.52643,-0.63838,-0.87765,-1.35692,-3.25108,-1.88873,-1.44179,-2.83996
66,-8.52036,-0.28099,-2.79997,-1.81191,-1.1199,-3.61725,-0.79835,-1.10707
67,-8.50254,-2.89855,-0.151,-0.62752,-1.70456,-2.14123,-2.80481,-1.8792
68,-8.48949,-4.38446,-0.39241,-1.67057,-1.2109,-1.15326,-1.15243,-1.27902
69,-8.48116,-0.38121,-0.96404,-3.61544,-1.25286,-2.25939,-1.92226,-1.88527
70,-8.44848,-1.12706,-0.61008,-0.97443,-4.18699,-1.5572,-0.29549,-2.44708
71,-8.44627,-0.75943,-1.72268,-3.79323,-0.79368,-1.61935,-1.60939,-2.21024
72,-8.43574,-0.33571,-0.72694,-1.38389,-2.10235,-0.62746,-3.61137,-2.90282
73,-8.42912,-2.19961,-2.82143,-3.62468,-0.66789,-1.13195,-0.39994,-1.06089
74,-8.42821,-0.26372,-4.09649,-1.0208,-0.12193,-3.31925,-0.17985,-0.08918
75,-8.4208,-0.29152,-3.03838,-2.27363,-0.55181,-1.3367,-3.4467,-0.79559
76,-8.42075,-3.18189,-1.87084,-0.75701,-2.25571,-1.2462,-2.64492,-1.12097
77,-8.41816,-0.51908,-0.30798,-2.49453,-0.94342,-0.35464,-2.75165,-3.73635
78,-8.39485,-1.22814,-1.55681,-0.0816,-3.96953,-2.62549,-1.71184,-0.08446
79,-8.39406,-1.497,-1.60401,-2.44233,-2.61915,-3.17512,-0.92561,-0.98126
80,-8.39038,-2.52183,-0.48505,-0.2879,-3.39853,-2.61225,-2.05069,-0.58697
81,-8.38742,-0.14272,-1.56177,-3.37023,-2.24325,-1.97188,-0.37196,-2.60277
82,-8.36667,-1.28854,-1.06353,-2.65343,-2.00579,-2.5863,-2.93541,-0.91538
83,-8.35988,-0.24038,-1.79997,-1.99937,-3.59587,-1.51528,-2.48086,-1.19843
84,-8.35941,-1.15429,-2.77478,-2.02994,-1.57204,-0.19628,-0.2439,-3.79454
85,-8.3555,-2.58821,-1.99737,-0.8277,-3.10099,-1.15545,-2.79906,-0.1622
86,-8.35168,-1.67845,-1.56766,-3.64923,-1.5141,-2.61502,-1.46875,-0.60803
87,-8.34985,-0.37983,-4.54093,-2.16053,-1.62538,-1.14404,-0.90754,-0.27113
88,-8.34904,-2.1465,-1.90865,-0.58557,-3.41191,-0.55922,-0.21059,-3.11481
89,-8.34785,-1.32974,-1.41964,-2.69186,-0.72391,-1.01749,-2.72608,-3.20825
90,-8.34389,-1.97376,-2.65347,-1.45618,-1.3256,-3.77489,-0.15795,-1.13594
91,-8.33553,-3.71309,-0.59927,-0.70818,-0.27391,-1.22436,-3.6708,-0.90681
92,-8.33188,-1.3985,-1.0114,-3.67397,-2.16191,-0.8428,-2.88038,-0.6498
93,-8.32415,-4.65219,-1.57496,-1.14418,-0.47808,-1.59536,-0.995,-1.2297
94,-8.31859,-1.544,-0.46548,-3.12114,-4.13563,-0.37375,-1.01146,-0.43898
95,-8.31541,-0.89536,-0.02143,-2.3115,-0.40155,-4.19237,-2.0721,-1.63648
96,-8.31348,-0.01297,-1.23439,-1.23765,-1.70729,-0.7205,-4.02622,-2.86112
97,-8.31344,-3.71868,-2.1874,-1.67248,-0.93541,-2.39431,-1.34371,-1.031
98,-8.30551,-2.94093,-1.34995,-3.22557,-1.34695,-2.64716,-0.60531,-0.97702
99,-8.29797,-2.82334,-0.00071,-2.78497,-0.01635,-2.17662,-3.22261,-0.54153
100,-8.29455,-0.24746,-1.43643,-2.3132,-1.48848,-0.15933,-0.93721,-4.53934
101,-8.29007,-3.17445,-1.76876,-1.96331,-0.0485,-1.03822,-3.47149,-1.0407
102,-8.28602,-3.27045,-3.39952,-1.18783,-0.24667,-0.58952,-2.55565,-0.85946
103,-8.28002,-1.27429,-1.73212,-1.52882,-2.11472,-2.44729,-2.55152,-2.74013
104,-8.27817,-3.3412,-0.21834,-1.79121,-2.57367,-1.30208,-0.49163,-2.91399
105,-8.26985,-1.80557,-1.25714,-4.052,-2.32551,-0.6567,-1.70783,-1.2627
106,-8.26113,-0.55626,-1.36052,-1.5132,-0.48467,-0.14487,-1.85787,-4.85756
107,-8.2611,-2.0017,-3.75444,-2.13805,-2.52735,-1.30899,-0.96241,-0.23047
108,-8.24436,-1.95281,-0.03784,-2.44479,-0.51564,-3.57478,-0.51165,-2.98862
109,-8.23616,-0.06136,-1.48407,-1.09475,-3.27777,-0.68141,-0.57355,-4.15017
110,-8.23011,-0.78317,-0.51697,-2.45759,-4.22557,-0.28239,-0.57989,-2.65961
111,-8.22031,-2.18484,-3.2579,-2.31789,-0.15939,-2.22983,-2.08728,-1.52059
112,-8.21834,-1.77963,-2.9437,-0.78555,-0.12987,-0.27068,-0.29934,-4.45305
113,-8.21576,-0.12756,-0.59522,-1.06069,-1.51953,-4.55069,-1.70718,-2.25243
114,-8.20233,-3.80358,-1.79412,-0.12245,-0.4062,-2.21183,-2.91742,-1.20505
115,-8.20055,-1.43246,-0.2012,-2.72659,-3.0025,-2.26414,-2.59497,-1.53265
116,-8.19598,-0.49884,-2.06602,-0.45117,-3.15076,-1.75651,-2.492,-2.98032
117,-8.19244,-0.2075,-2.17917,-2.56567,-0.34602,-3.09031,-1.32625,-3.17502
