leaf_index,r0,r1
0,-10.0,-0.00972
1,-10.0,-0.00896
2,-10.0,-0.00893
3,-10.0,-0.00888
4,-10.0,-0.0088
5,-10.0,-0.00853
6,-10.0,-0.0084
7,-10.0,-0.00805
8,-10.0,-0.0079
9,-10.0,-0.00782
10,-10.0,-0.0075
11,-10.0,-0.00733
12,-10.0,-0.00733
13,-10.0,-0.00724
14,-10.0,-0.00609
15,-10.0,-0.00602
16,-10.0,-0.00597
17,-10.0,-0.00587
18,-10.0,-0.00548
19,-10.0,-0.00528
20,-10.0,-0.00497
21,-10.0,-0.00483
22,-10.0,-0.00468
23,-10.0,-0.00464
24,-10.0,-0.0043
25,-10.0,-0.00406
26,-10.0,-0.00396
27,-10.0,-0.00374
28,-10.0,-0.00366
29,-10.0,-0.00347
30,-10.0,-0.00339
31,-10.0,-0.00332
32,-10.0,-0.00332
33,-10.0,-0.00263
34,-10.0,-0.00252
35,-10.0,-0.00234
36,-10.0,-0.00198
37,-10.0,-0.00177
38,-10.0,-0.00157
39,-10.0,-0.00147
40,-10.0,-0.0014
41,-10.0,-0.00127
42,-10.0,-0.00105
43,-10.0,-0.00077
44,-10.0,-0.00049
45,-10.0,-0.00045
46,-9.99999,-0.01728
47,-9.99999,-0.01668
48,-9.99999,-0.01664
49,-9.99999,-0.01638
50,-9.99999,-0.0162
51,-9.99999,-0.01619
52,-9.99999,-0.0157
53,-9.99999,-0.0156
54,-9.99999,-0.01556
55,-9.99999,-0.01544
56,-9.99999,-0.01529
57,-9.99999,-0.01524
58,-9.99999,-0.01517
59,-9.99999,-0.0149
60,-9.99999,-0.0145
61,-9.99999,-0.01374
62,-9.99999,-0.0133
63,-9.99999,-0.01311
64,-9.99999,-0.01304
65,-9.99999,-0.01258
66,-9.99999,-0.01254
67,-9.99999,-0.0115
68,-9.99999,-0.01148
69,-9.99999,-0.01135
70,-9.99999,-0.01111
71,-9.99999,-0.01096
72,-9.99999,-0.01089
73,-9.99999,-0.01088
74,-9.99999,-0.01044
75,-9.99999,-0.01026
76,-9.99999,-0.01024
77,-9.99998,-0.02226
78,-9.99998,-0.02214
79,-9.99998,-0.02174
80,-9.99998,-0.02156
81,-9.99998,-0.02141
82,-9.99998,-0.02123
83,-9.99998,-0.02107
84,-9.99998,-0.02096
85,-9.99998,-0.02088
86,-9.99998,-0.02048
87,-9.99998,-0.02017
88,-9.99998,-0.01942
89,-9.99998,-0.01909
90,-9.99998,-0.01907
91,-9.99998,-0.01875
92,-9.99998,-0.01824
93,-9.99998,-0.01798
94,-9.99998,-0.01798
95,-9.99998,-0.0177
96,-9.99998,-0.01749
97,-9.99997,-0.02628
98,-9.99997,-0.02622
99,-9.99997,-0.02597
100,-9.99997,-0.02585
101,-9.99997,-0.02563
102,-9.99997,-0.02526
103,-9.99997,-0.02492
104,-9.99997,-0.02384
105,-9.99997,-0.0234
106,-9.99996,-0.02971
107,-9.99996,-0.0297
108,-9.99996,-0.02952
109,-9.99996,-0.02935
110,-9.99996,-0.02905
111,-9.99996,-0.02856
112,-9.99996,-0.02807
113,-9.99996,-0.02797
114,-9.99996,-0.02792
115,-9.99996,-0.02762
116,-9.99996,-0.02761
117,-9.99996,-0.02742
118,-9.99996,-0.02674
119,-9.99996,-0.02651
120,-9.99995,-0.03279
121,-9.99995,-0.03275
122,-9.99995,-0.0323
